"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Michigan!!Males!!Estimate","Michigan!!Males!!Margin of Error","Michigan!!Percent Males!!Estimate","Michigan!!Percent Males!!Margin of Error","Michigan!!Females!!Estimate","Michigan!!Females!!Margin of Error","Michigan!!Percent Females!!Estimate","Michigan!!Percent Females!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","Ohio!!Males!!Estimate","Ohio!!Males!!Margin of Error","Ohio!!Percent Males!!Estimate","Ohio!!Percent Males!!Margin of Error","Ohio!!Females!!Estimate","Ohio!!Females!!Margin of Error","Ohio!!Percent Females!!Estimate","Ohio!!Percent Females!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"Population 18 to 24 years","998,956","±854","(X)","(X)","510,457","±734","(X)","(X)","488,499","±538","(X)","(X)","1,099,035","±1,090","(X)","(X)","559,376","±742","(X)","(X)","539,659","±732","(X)","(X)"
"    Less than high school graduate","133,112","±2,114","13.3%","±0.2","79,918","±1,653","15.7%","±0.3","53,194","±1,341","10.9%","±0.3","153,348","±2,535","14.0%","±0.2","87,077","±2,038","15.6%","±0.4","66,271","±1,569","12.3%","±0.3"
"    High school graduate (includes equivalency)","282,535","±3,159","28.3%","±0.3","156,953","±2,299","30.7%","±0.4","125,582","±1,940","25.7%","±0.4","348,772","±3,244","31.7%","±0.3","197,629","±2,158","35.3%","±0.4","151,143","±2,396","28.0%","±0.4"
"    Some college or associate's degree","489,284","±3,311","49.0%","±0.3","231,994","±2,186","45.4%","±0.4","257,290","±2,309","52.7%","±0.5","490,863","±4,026","44.7%","±0.4","230,958","±2,623","41.3%","±0.5","259,905","±2,905","48.2%","±0.5"
"    Bachelor's degree or higher","94,025","±2,309","9.4%","±0.2","41,592","±1,659","8.1%","±0.3","52,433","±1,658","10.7%","±0.3","106,052","±2,248","9.6%","±0.2","43,712","±1,420","7.8%","±0.3","62,340","±1,593","11.6%","±0.3"
"Population 25 years and over","6,682,881","±795","(X)","(X)","3,219,272","±797","(X)","(X)","3,463,609","±621","(X)","(X)","7,848,046","±1,201","(X)","(X)","3,763,717","±1,040","(X)","(X)","4,084,329","±903","(X)","(X)"
"    Less than 9th grade","209,210","±3,122","3.1%","±0.1","105,296","±2,156","3.3%","±0.1","103,914","±1,921","3.0%","±0.1","232,970","±3,824","3.0%","±0.1","117,348","±2,405","3.1%","±0.1","115,622","±2,261","2.8%","±0.1"
"    9th to 12th grade, no diploma","467,257","±4,435","7.0%","±0.1","243,466","±2,951","7.6%","±0.1","223,791","±3,023","6.5%","±0.1","592,185","±6,402","7.5%","±0.1","299,030","±4,030","7.9%","±0.1","293,155","±3,832","7.2%","±0.1"
"    High school graduate (includes equivalency)","1,978,662","±9,426","29.6%","±0.1","973,303","±5,655","30.2%","±0.2","1,005,359","±5,853","29.0%","±0.2","2,654,140","±10,393","33.8%","±0.1","1,304,641","±6,629","34.7%","±0.2","1,349,499","±5,512","33.0%","±0.1"
"    Some college, no degree","1,587,525","±6,379","23.8%","±0.1","763,415","±3,868","23.7%","±0.1","824,110","±4,836","23.8%","±0.1","1,616,966","±7,501","20.6%","±0.1","775,035","±4,998","20.6%","±0.1","841,931","±5,439","20.6%","±0.1"
"    Associate's degree","608,429","±4,591","9.1%","±0.1","253,339","±2,593","7.9%","±0.1","355,090","±3,744","10.3%","±0.1","658,910","±5,196","8.4%","±0.1","262,246","±3,457","7.0%","±0.1","396,664","±3,828","9.7%","±0.1"
