"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Michigan!!Male!!Estimate","Michigan!!Male!!Margin of Error","Michigan!!Percent Male!!Estimate","Michigan!!Percent Male!!Margin of Error","Michigan!!Female!!Estimate","Michigan!!Female!!Margin of Error","Michigan!!Percent Female!!Estimate","Michigan!!Percent Female!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","Ohio!!Male!!Estimate","Ohio!!Male!!Margin of Error","Ohio!!Percent Male!!Estimate","Ohio!!Percent Male!!Margin of Error","Ohio!!Female!!Estimate","Ohio!!Female!!Margin of Error","Ohio!!Percent Female!!Estimate","Ohio!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","989,175","±777","(X)","(X)","505,413","±596","(X)","(X)","483,762","±497","(X)","(X)","1,086,626","±1,224","(X)","(X)","553,040","±775","(X)","(X)","533,586","±823","(X)","(X)"
"        Less than high school graduate","126,336","±2,289","12.8%","±0.2","75,069","±1,914","14.9%","±0.4","51,267","±1,390","10.6%","±0.3","144,436","±2,435","13.3%","±0.2","81,402","±1,709","14.7%","±0.3","63,034","±1,723","11.8%","±0.3"
"        High school graduate (includes equivalency)","293,587","±2,957","29.7%","±0.3","162,772","±2,398","32.2%","±0.5","130,815","±1,867","27.0%","±0.4","362,436","±4,037","33.4%","±0.4","203,757","±2,569","36.8%","±0.5","158,679","±2,643","29.7%","±0.5"
"        Some college or associate's degree","467,659","±3,563","47.3%","±0.4","222,515","±2,540","44.0%","±0.5","245,144","±2,592","50.7%","±0.5","469,420","±4,148","43.2%","±0.4","222,010","±2,660","40.1%","±0.5","247,410","±2,723","46.4%","±0.5"
"        Bachelor's degree or higher","101,593","±2,240","10.3%","±0.2","45,057","±1,559","8.9%","±0.3","56,536","±1,565","11.7%","±0.3","110,334","±2,586","10.2%","±0.2","45,871","±1,626","8.3%","±0.3","64,463","±1,839","12.1%","±0.3"
"    Population 25 years and over","6,772,215","±832","(X)","(X)","3,270,094","±765","(X)","(X)","3,502,121","±624","(X)","(X)","7,937,085","±1,257","(X)","(X)","3,811,775","±1,022","(X)","(X)","4,125,310","±1,053","(X)","(X)"
"        Less than 9th grade","200,210","±2,988","3.0%","±0.1","101,179","±1,978","3.1%","±0.1","99,031","±1,949","2.8%","±0.1","223,320","±3,067","2.8%","±0.1","112,286","±2,032","2.9%","±0.1","111,034","±1,960","2.7%","±0.1"
"        9th to 12th grade, no diploma","441,326","±4,836","6.5%","±0.1","231,726","±2,937","7.1%","±0.1","209,600","±3,303","6.0%","±0.1","562,840","±6,192","7.1%","±0.1","285,906","±4,019","7.5%","±0.1","276,934","±3,746","6.7%","±0.1"
"        High school graduate (includes equivalency)","1,966,809","±9,039","29.0%","±0.1","977,626","±5,458","29.9%","±0.2","989,183","±5,133","28.2%","±0.1","2,639,478","±12,412","33.3%","±0.2","1,308,026","±7,524","34.3%","±0.2","1,331,452","±7,136","32.3%","±0.2"
"        Some college, no degree","1,590,065","±7,345","23.5%","±0.1","768,125","±4,528","23.5%","±0.1","821,940","±5,023","23.5%","±0.1","1,624,247","±8,036","20.5%","±0.1","782,952","±5,719","20.5%","±0.1","841,295","±5,849","20.4%","±0.1"
"        Associate's degree","636,753","±4,629","9.4%","±0.1","263,822","±2,821","8.1%","±0.1","372,931","±3,357","10.6%","±0.1","681,630","±5,868","8.6%","±0.1","271,521","±3,773","7.1%","±0.1","410,109","±4,411","9.9%","±0.1"
"        Bachelor's degree","1,179,677","±6,732","17.4%","±0.1","562,474","±4,321","17.2%","±0.1","617,203","±4,337","17.6%","±0.1","1,370,810","±8,890","17.3%","±0.1","657,957","±5,327","17.3%","±0.1","712,853","±5,391","17.3%","±0.1"
"        Graduate or professional degree","757,375","±6,715","11.2%","±0.1","365,142","±3,451","11.2%","±0.1","392,233","±4,589","11.2%","±0.1","834,760","±8,702","10.5%","±0.1","393,127","±4,618","10.3%","±0.1","441,633","±5,261","10.7%","±0.1"
"        High school graduate or higher","6,130,679","±6,347","90.5%","±0.1","(X)","(X)","89.8%","±0.1","(X)","(X)","91.2%","±0.1","7,150,925","±7,550","90.1%","±0.1","(X)","(X)","89.6%","±0.1","(X)","(X)","90.6%","±0.1"
"        Bachelor's degree or higher","1,937,052","±11,333","28.6%","±0.2","(X)","(X)","28.4%","±0.2","(X)","(X)","28.8%","±0.2","2,205,570","±14,712","27.8%","±0.2","(X)","(X)","27.6%","±0.2","(X)","(X)","28.0%","±0.2"
"    Population 25 to 34 years","1,245,849","±821","(X)","(X)","629,767","±645","(X)","(X)","616,082","±584","(X)","(X)","1,505,481","±1,386","(X)","(X)","757,271","±972","(X)","(X)","748,210","±901","(X)","(X)"
"        High school graduate or higher","1,143,573","±2,433","91.8%","±0.2","571,324","±1,777","90.7%","±0.3","572,249","±1,627","92.9%","±0.2","1,385,115","±2,951","92.0%","±0.2","689,869","±1,829","91.1%","±0.2","695,246","±1,852","92.9%","±0.2"
"        Bachelor's degree or higher","406,910","±4,304","32.7%","±0.3","186,926","±2,499","29.7%","±0.4","219,984","±2,756","35.7%","±0.4","498,688","±5,569","33.1%","±0.4","225,528","±3,445","29.8%","±0.5","273,160","±3,571","36.5%","±0.5"
"    Population 35 to 44 years","1,170,300","±834","(X)","(X)","580,778","±556","(X)","(X)","589,522","±529","(X)","(X)","1,393,553","±1,169","(X)","(X)","692,930","±802","(X)","(X)","700,623","±757","(X)","(X)"
"        High school graduate or higher","1,070,421","±2,394","91.5%","±0.2","525,649","±1,524","90.5%","±0.2","544,772","±1,416","92.4%","±0.2","1,278,571","±2,730","91.7%","±0.2","626,999","±1,886","90.5%","±0.3","651,572","±1,586","93.0%","±0.2"
"        Bachelor's degree or higher","392,184","±4,174","33.5%","±0.4","175,464","±2,475","30.2%","±0.4","216,720","±2,532","36.8%","±0.4","460,998","±5,198","33.1%","±0.4","206,685","±2,772","29.8%","±0.4","254,313","±3,016","36.3%","±0.4"
"    Population 45 to 64 years","2,735,122","±860","(X)","(X)","1,339,055","±674","(X)","(X)","1,396,067","±607","(X)","(X)","3,145,190","±1,342","(X)","(X)","1,536,341","±1,031","(X)","(X)","1,608,849","±861","(X)","(X)"
"        High school graduate or higher","2,510,418","±3,879","91.8%","±0.1","1,214,584","±2,406","90.7%","±0.2","1,295,834","±2,301","92.8%","±0.2","2,874,780","±4,275","91.4%","±0.1","1,391,332","±2,894","90.6%","±0.2","1,483,448","±2,625","92.2%","±0.2"
