"Label (Grouping)","Michigan!!Households!!Estimate","Michigan!!Households!!Margin of Error","Michigan!!Families!!Estimate","Michigan!!Families!!Margin of Error","Michigan!!Married-couple families!!Estimate","Michigan!!Married-couple families!!Margin of Error","Michigan!!Nonfamily households!!Estimate","Michigan!!Nonfamily households!!Margin of Error","Ohio!!Households!!Estimate","Ohio!!Households!!Margin of Error","Ohio!!Families!!Estimate","Ohio!!Families!!Margin of Error","Ohio!!Married-couple families!!Estimate","Ohio!!Married-couple families!!Margin of Error","Ohio!!Nonfamily households!!Estimate","Ohio!!Nonfamily households!!Margin of Error"
"Total","3,935,041","±8,563","2,517,441","±8,128","1,853,456","±10,342","1,417,600","±5,755","4,676,358","±10,659","2,953,180","±10,233","2,142,864","±13,165","1,723,178","±8,022"
"    Less than $10,000","6.6%","±0.1","3.9%","±0.1","1.4%","±0.1","12.5%","±0.2","6.8%","±0.1","4.1%","±0.1","1.2%","±0.1","12.6%","±0.2"
"    $10,000 to $14,999","4.4%","±0.1","2.5%","±0.1","1.1%","±0.1","8.3%","±0.1","4.6%","±0.1","2.5%","±0.1","1.0%","±0.1","8.5%","±0.1"
"    $15,000 to $24,999","9.6%","±0.1","6.2%","±0.1","3.4%","±0.1","16.6%","±0.2","9.9%","±0.1","6.2%","±0.1","3.1%","±0.1","16.8%","±0.2"
"    $25,000 to $34,999","9.8%","±0.1","7.7%","±0.1","5.4%","±0.1","14.1%","±0.2","9.8%","±0.1","7.6%","±0.1","5.3%","±0.1","14.1%","±0.2"
"    $35,000 to $49,999","13.5%","±0.1","12.2%","±0.1","10.7%","±0.1","15.9%","±0.2","13.4%","±0.1","12.1%","±0.1","10.5%","±0.1","15.7%","±0.2"
"    $50,000 to $74,999","18.3%","±0.1","19.2%","±0.2","19.4%","±0.2","16.1%","±0.2","18.3%","±0.1","19.2%","±0.1","19.5%","±0.2","16.2%","±0.2"
"    $75,000 to $99,999","12.7%","±0.1","15.1%","±0.2","17.1%","±0.2","7.8%","±0.1","13.0%","±0.1","15.5%","±0.1","17.8%","±0.2","7.8%","±0.2"
"    $100,000 to $149,999","14.2%","±0.1","18.4%","±0.2","22.4%","±0.2","5.8%","±0.1","14.1%","±0.1","18.6%","±0.2","23.1%","±0.2","5.4%","±0.1"
"    $150,000 to $199,999","5.6%","±0.1","7.7%","±0.1","9.8%","±0.1","1.6%","±0.1","5.3%","±0.1","7.4%","±0.1","9.6%","±0.1","1.4%","±0.1"
"    $200,000 or more","5.2%","±0.1","7.2%","±0.1","9.4%","±0.1","1.5%","±0.1","4.9%","±0.1","6.8%","±0.1","9.0%","±0.1","1.4%","±0.1"
"Median income (dollars)","57,144","±216","72,600","±364","86,923","±348","33,711","±225","56,602","±213","72,439","±318","87,575","±383","33,281","±224"
"Mean income (dollars)","78,400","±269","93,955","±365","109,389","±411","47,776","±308","76,958","±278","92,726","±397","109,123","±450","46,828","±326"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","33.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","32.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","34.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","32.7%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","32.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.2%","(X)"
